car_num,단속일시,과태료,단속지역,단속장소,단속조명,사진,처리상태,적용법조,위반내용,차종,차명,차량구분,견인지시,발행번호,단속구분
81누0362,2020-04-24 10:55,40000,장안동,374-1,주행형CCTV,5,수시분수납,34,주차방법위반,화물4톤이하,봉고Ⅲ 1톤,일반,미견인,4f0b4cf0-d,주행형CCTV
서울33사1419,2020-04-24 10:55,32000,장안동,373-3,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,ec3b11a8-9,주행형CCTV
57로7370,2020-04-24 10:55,32000,장안동,375-4,주행형CCTV,5,자납,34,주차방법위반,승용,모닝,일반,미견인,8cd590d2-8,주행형CCTV
86고8793,2020-04-24 10:55,32000,장안동,375-1,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,그랜드 스타렉스(GRAND STAREX),일반,미견인,56560e73-9,주행형CCTV
42노7406,2020-04-24 10:55,40000,장안동,373-1,주행형CCTV,5,압류,34,주차방법위반,승용,모하비,일반,미견인,8573186b-c,주행형CCTV
29루3972,2020-04-24 10:57,32000,장안동,431-3,주행형CCTV,5,자납,34,주차방법위반,승용,스파크 1.0 DOHC LPG,일반,미견인,2466603f-9,주행형CCTV
41오2060,2020-04-24 11:34,40000,장안동,435-5,주행형CCTV,5,압류,34,주차방법위반,승용,제네시스(GENESIS),일반,미견인,7153e39e-8,주행형CCTV
72가3521,2020-04-24 11:46,40000,장안동,369-1,주행형CCTV,5,자납,34,주차방법위반,승합,그랜드 스타렉스(GRAND STAREX),일반,미견인,a7afc79a-2,주행형CCTV
서울31자7991,2020-04-24 11:48,32000,장안동,373-3,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,883b9fe0-f,주행형CCTV
91소0455,2020-04-24 11:51,32000,장안동,374-1,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),일반,미견인,8ed01843-8,주행형CCTV
05나3459,2020-04-24 11:53,32000,장안동,369-1,주행형CCTV,5,자납,34,주차방법위반,승용,투싼(TUCSON),일반,미견인,57b0d2be-9,주행형CCTV
서울32사4886,2020-04-24 11:54,40000,장안동,371-1,주행형CCTV,5,압류,32,횡단보도,승용,쏘나타(SONATA),일반,미견인,5f274110-8,주행형CCTV
08소6435,2020-04-24 11:57,32000,장안동,430-18,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,3910f41c-6,주행형CCTV
04나1311,2020-04-24 12:09,32000,장안동,335-9,주행형CCTV,5,자납,32,보도,승용,토요타 RAV4 2WD,일반,미견인,f13957bb-a,주행형CCTV
23수2226,2020-04-24 12:14,32000,장안동,430-2,주행형CCTV,5,자납,34,주차방법위반,승용,쏘렌토,일반,미견인,b88bc78e-0,주행형CCTV
51어7756,2020-04-24 12:14,40000,장안동,430-2,주행형CCTV,5,압류,34,주차방법위반,승용,카이런,일반,미견인,09289044-b,주행형CCTV
01두2150,2020-04-24 12:14,40000,장안동,430-18,주행형CCTV,5,압류,34,주차방법위반,승용,카니발,일반,미견인,30808246-6,주행형CCTV
61조2964,2020-04-24 13:18,32000,장안동,369-3,주행형CCTV,5,자납,34,주차방법위반,승용,싼타페(SANTAFE),일반,미견인,d9bd0278-b,주행형CCTV
58조8666,2020-04-24 13:18,40000,장안동,369-3,주행형CCTV,5,압류,34,주차방법위반,승용,Explorer 2.3 AWD,일반,미견인,21df9ae7-1,주행형CCTV
30우3621,2020-04-24 13:30,8000,장안동,430-3,주행형CCTV,5,자납,34,주차방법위반,승용,모닝,일반,미견인,4bf7f06d-1,주행형CCTV
서울32사8745,2020-04-24 13:35,32000,장안동,373-1,주행형CCTV,5,자납,32,횡단보도,승용,쏘나타(SONATA),일반,미견인,3212ba91-0,주행형CCTV
42노7406,2020-04-24 13:35,10000,장안동,469-8,주행형CCTV,5,압류,34,주차방법위반,승용,모하비,일반,미견인,21b8df4e-a,주행형CCTV
07고1454,2020-04-24 13:36,40000,장안동,363-9,주행형CCTV,5,압류해제수납,34,주차방법위반,승용,QM3,일반,미견인,98327f69-4,주행형CCTV
55나0706,2020-04-24 13:38,32000,장안동,435-1,주행형CCTV,5,자납,34,주차방법위반,승용,BMW 520d,일반,미견인,6ac8aa18-d,주행형CCTV
67두2605,2020-04-24 13:38,32000,장안동,435-5,주행형CCTV,5,자납,34,주차방법위반,승용,투싼(TUCSON),일반,미견인,375eef9d-9,주행형CCTV
05구2678,2020-04-24 13:38,32000,장안동,435-5,주행형CCTV,5,자납,34,주차방법위반,승용,디스커버리 TD6,일반,미견인,cd2b4c85-b,주행형CCTV
31보1007,2020-04-24 13:38,32000,장안동,435-5,주행형CCTV,5,자납,34,주차방법위반,승용,GLC250 d 4Matic,일반,미견인,f17b9284-6,주행형CCTV
33모2766,2020-04-24 13:38,32000,장안동,435-5,주행형CCTV,5,자납,34,주차방법위반,승용,쏘렌토,일반,미견인,106c52e3-d,주행형CCTV
84러0399,2020-04-24 15:42,40000,용두동,255-71,주행형CCTV,5,수시분수납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,c0ad3ec9-f,주행형CCTV
경기88배6114,2020-04-24 15:42,32000,용두동,255-53,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,5a69ecf0-0,주행형CCTV
90누8840,2020-04-24 15:42,32000,용두동,255-71,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,add74bc8-a,주행형CCTV
86오8236,2020-04-24 15:43,40000,용두동,255-71,주행형CCTV,5,수시분수납,34,주차방법위반,화물4톤이하,봉고Ⅲ 1.2톤,일반,미견인,bcea392c-8,주행형CCTV
91오4111,2020-04-24 15:43,32000,용두동,255-56,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,9ff840e2-c,주행형CCTV
15모0759,2020-04-24 15:44,40000,용두동,255-58,주행형CCTV,5,독촉분수납,34,주차방법위반,승용,쏘렌토,일반,미견인,b76eb953-d,주행형CCTV
86수1167,2020-04-24 15:45,40000,용두동,127-18,주행형CCTV,5,압류예정,32,보도,화물4톤이하,다마스밴,일반,미견인,a4eaa523-b,주행형CCTV
24라4057,2020-04-24 16:03,32000,장안동,369-3,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타 (SONATA) 하이브리드,일반,미견인,65b1a010-e,주행형CCTV
서울31바6624,2020-04-24 16:12,32000,장안동,373-1,주행형CCTV,5,자납,32,횡단보도,승용,쏘나타(SONATA),일반,미견인,8c014316-a,주행형CCTV
90두1800,2020-04-24 16:15,32000,장안동,372-4,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ(PORTERⅡ),일반,미견인,95bd9a7c-2,주행형CCTV
88너3865,2020-04-24 16:16,40000,장안동,372-11,주행형CCTV,5,수시분수납,34,주차방법위반,화물4톤이하,포터Ⅱ내장탑차 (PORTER Ⅱ),일반,미견인,2fd63a57-c,주행형CCTV
서울32아3920,2020-04-24 16:17,32000,장안동,374-3,주행형CCTV,5,자납,32,횡단보도,승용,쏘나타(SONATA),일반,미견인,8c5db5c7-a,주행형CCTV
51허1167,2020-04-24 16:17,40000,장안동,374-3,주행형CCTV,5,압류예정,34,주차방법위반,승용,K5,일반,미견인,099fd3ea-b,주행형CCTV
55나0706,2020-04-24 16:18,8000,장안동,430-2,주행형CCTV,5,자납,34,주차방법위반,승용,BMW 520d,일반,미견인,47dcf9f2-7,주행형CCTV
14러1793,2020-04-24 16:19,40000,장안동,430-18,주행형CCTV,5,압류예정분수납,34,주차방법위반,승용,GLC220 d 4Matic Coupe,일반,미견인,f675a8b8-3,주행형CCTV
71호2574,2020-04-24 16:19,50000,장안동,430-2,주행형CCTV,5,수시분수납,34,주차방법위반,승합,카니발,일반,미견인,fcc64f37-0,주행형CCTV
52호5530,2020-04-24 16:19,40000,장안동,430-18,주행형CCTV,5,수시분수납,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,190e7b19-e,주행형CCTV
60너0800,2020-04-24 16:19,32000,장안동,430-18,주행형CCTV,5,자납,34,주차방법위반,승용,아반떼(AVANTE),일반,미견인,bda1540c-8,주행형CCTV
01도1824,2020-04-24 16:19,32000,장안동,430-2,주행형CCTV,5,자납,34,주차방법위반,승용,Mercedes-AMG CLA45 4Matic,일반,미견인,e50ce25a-9,주행형CCTV
42호8496,2020-04-24 16:19,40000,장안동,430-2,주행형CCTV,5,압류예정,32,소화전,승용,그랜저(GRANDEUR),일반,미견인,2c4077c0-6,주행형CCTV
82너7024,2020-04-27 10:40,40000,장안동,433-6,주행형CCTV,5,수시분수납,34,주차방법위반,화물4톤이하,그랜드 스타렉스(GRAND STAREX),일반,미견인,1cafea54-7,주행형CCTV
59호1953,2020-04-27 10:41,32000,장안동,433-5,주행형CCTV,5,자납,34,주차방법위반,승용,카니발 하이리무진,일반,미견인,f5f9e78a-8,주행형CCTV
88노0199,2020-04-27 10:42,32000,장안동,469-13,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,f83c33c6-8,주행형CCTV
345구6295,2020-04-27 10:44,32000,장안동,469-6,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,1c33718a-2,주행형CCTV
86고8793,2020-04-27 10:46,32000,장안동,375-2,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,그랜드 스타렉스(GRAND STAREX),일반,미견인,9def2578-7,주행형CCTV
11저7244,2020-04-27 15:41,40000,용두동,255-53,주행형CCTV,5,수시분수납,34,주차방법위반,승용,그랜저(GRANDEUR) 하이브리드,일반,미견인,e7887059-4,주행형CCTV
41보9082,2020-04-27 15:41,32000,용두동,255-67,주행형CCTV,5,자납,34,주차방법위반,승용,아반떼 (AVANTE),일반,미견인,a397bd3d-f,주행형CCTV
06노0827,2020-04-27 15:41,32000,용두동,255-67,주행형CCTV,5,자납,34,주차방법위반,승용,A5 Sportback 35 TDI quattro,일반,미견인,1a3815bc-9,주행형CCTV
83소1441,2020-04-27 15:42,40000,용두동,255-56,주행형CCTV,5,압류해제수납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,8017d1e1-4,주행형CCTV
86오8236,2020-04-27 15:42,40000,용두동,255-71,주행형CCTV,5,수시분수납,34,주차방법위반,화물4톤이하,봉고Ⅲ 1.2톤,일반,미견인,687f0ed8-f,주행형CCTV
03모1737,2020-04-27 15:42,40000,용두동,255-56,주행형CCTV,5,수시분수납,34,주차방법위반,승용,CLS400 d 4Matic,일반,미견인,8590ec41-f,주행형CCTV
88도9490,2020-04-27 15:42,32000,용두동,255-53,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ내장탑차 (PORTER Ⅱ),일반,미견인,6a7d2409-1,주행형CCTV
86수1167,2020-04-27 15:47,40000,용두동,127-18,주행형CCTV,5,압류예정,32,보도,화물4톤이하,다마스밴,일반,미견인,97c9cd4a-1,주행형CCTV
43보5372,2020-04-27 15:49,40000,용두동,255-67,주행형CCTV,5,수시분수납,34,주차방법위반,승용,GLA200 CDI,일반,미견인,514f12e1-1,주행형CCTV
경기88배6114,2020-04-27 15:50,32000,용두동,255-53,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,81ec6966-9,주행형CCTV
29더4999,2020-04-27 16:18,40000,장안동,432-1,주행형CCTV,5,압류,34,주차방법위반,승용,벤츠S550 4MATIC,일반,미견인,cf25dc2b-c,주행형CCTV
42소2420,2020-04-27 16:26,40000,장안동,375-4,주행형CCTV,5,압류해제수납,34,주차방법위반,승용,코란도 투리스모,일반,미견인,fe5a169d-9,주행형CCTV
47머5329,2020-04-27 16:27,32000,장안동,430-18,주행형CCTV,5,자납,34,주차방법위반,승용,아반떼 (AVANTE),일반,미견인,ae5fb932-a,주행형CCTV
30우3621,2020-04-27 16:27,32000,장안동,430-2,주행형CCTV,5,자납,34,주차방법위반,승용,모닝,일반,미견인,2922e57e-8,주행형CCTV
35버6163,2020-04-27 16:31,32000,장안동,374-1,주행형CCTV,5,자납,34,주차방법위반,승용,스포티지,일반,미견인,bb847d5c-4,주행형CCTV
95거1300,2020-04-27 16:32,40000,장안동,375-4,주행형CCTV,5,수시분수납,34,주차방법위반,화물4톤이하,마이티,일반,미견인,901c52fd-a,주행형CCTV
92무8850,2020-04-27 16:32,32000,장안동,375-4,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,094edcfb-4,주행형CCTV
52루9494,2020-04-27 16:34,40000,장안동,430-18,주행형CCTV,5,압류,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,d0b64723-e,주행형CCTV
서울32사7516,2020-04-27 16:52,40000,장안동,372-2,주행형CCTV,5,압류해제수납,32,횡단보도,승용,쏘나타(SONATA),일반,미견인,a03a478d-8,주행형CCTV
83구6507,2020-04-27 16:55,32000,장안동,306-2,주행형CCTV,5,자납,32,횡단보도,화물4톤이하,코란도스포츠,일반,미견인,da19a5e1-e,주행형CCTV
29나5094,2020-04-27 16:55,32000,장안동,306-2,주행형CCTV,5,자납,34,주차방법위반,승용,GLE350 d 4Matic Coupe,일반,미견인,94135524-5,주행형CCTV
287러3571,2020-04-27 16:55,32000,장안동,309-8,주행형CCTV,5,자납,34,주차방법위반,승용,QM6,일반,미견인,b439fea5-7,주행형CCTV
02구3553,2020-04-27 16:55,32000,장안동,309-2,주행형CCTV,5,자납,34,주차방법위반,승용,G80,일반,미견인,11582e84-8,주행형CCTV
22버8160,2020-04-27 16:56,32000,장안동,311-2,주행형CCTV,5,자납,32,횡단보도,승용,카니발,일반,미견인,3a5d7190-9,주행형CCTV
24부3760,2020-04-27 16:56,32000,장안동,311-1,주행형CCTV,5,자납,34,주차방법위반,승용,아반떼 스포츠(AVANTE SPORT),일반,미견인,a2b5e3b2-e,주행형CCTV
62보1918,2020-04-27 16:57,40000,용두동,255-67,주행형CCTV,5,수시분수납,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,9b18c437-5,주행형CCTV
42두6990,2020-04-27 16:57,32000,장안동,304-3,주행형CCTV,5,자납,34,주차방법위반,승용,투싼(TUCSON),일반,미견인,7f14f7c6-5,주행형CCTV
서울33자3500,2020-04-27 16:57,32000,장안동,302-3,주행형CCTV,5,자납,32,횡단보도,승용,쏘나타(SONATA),일반,미견인,20ea4621-a,주행형CCTV
13나4219,2020-04-27 16:57,40000,장안동,302-3,주행형CCTV,5,압류,32,횡단보도,승용,카니발,일반,미견인,d55c86ac-d,주행형CCTV
인천85자1763,2020-04-27 17:08,32000,용두동,255-67,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,마이티,일반,미견인,c10e6500-3,주행형CCTV
대구81자2109,2020-04-27 17:08,32000,용두동,129-4,주행형CCTV,3,자납,34,주차방법위반,화물4톤이하,봉고Ⅲ 플러스내장차,일반,미견인,e9531205-4,주행형CCTV
92수2920,2020-04-27 17:09,32000,용두동,255-126,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ(PORTERⅡ),일반,미견인,ee02d686-a,주행형CCTV
59구7624,2020-04-27 17:09,32000,용두동,255-53,주행형CCTV,5,자납,34,주차방법위반,승용,투싼(TUCSON),일반,미견인,976fa509-2,주행형CCTV
30머2932,2020-04-27 17:10,32000,장안동,302-3,주행형CCTV,5,자납,34,주차방법위반,승용,팰리세이드(PALISADE),일반,미견인,2d84386b-4,주행형CCTV
67저3400,2020-04-27 17:11,32000,용두동,127-33,주행형CCTV,5,자납,34,주차방법위반,승용,싼타페(SANTAFE),일반,미견인,22c42680-b,주행형CCTV
84소4902,2020-04-27 17:13,32000,장안동,309-1,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,7f069d98-d,주행형CCTV
경기80사8208,2020-04-27 17:21,32000,장안동,365-9,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,이－마이티,일반,미견인,256bf884-2,주행형CCTV
80누0129,2020-04-28 10:36,32000,장안동,469-13,주행형CCTV,5,자납,32,보도,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,4d9a6558-1,주행형CCTV
96오9285,2020-04-28 10:37,40000,장안동,364-4,주행형CCTV,5,수시분수납,32,보도,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,226f8201-4,주행형CCTV
87수4865,2020-04-28 10:57,32000,장안동,369-3,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,봉고Ⅲ 1.2톤,일반,미견인,b5fd9cc7-6,주행형CCTV
34호2915,2020-04-28 10:57,40000,장안동,372-1,주행형CCTV,5,압류예정,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,eacdb6e3-b,주행형CCTV
66구5044,2020-04-28 11:10,32000,장안동,370-1,주행형CCTV,5,자납,34,주차방법위반,승용,CHEVROLET CAMARO,일반,미견인,bfbb51e5-d,주행형CCTV
55다6746,2020-04-28 11:19,40000,장안동,486,주행형CCTV,5,압류해제수납,32,교차로,승용,쏘렌토,일반,미견인,73be8f48-1,주행형CCTV
82너3023,2020-04-28 11:36,32000,장안동,469-6,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,99e87ca8-d,주행형CCTV
18로5365,2020-04-28 11:39,32000,장안동,435-5,주행형CCTV,5,자납,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,752a542d-c,주행형CCTV
41우8521,2020-04-28 11:41,32000,장안동,433-7,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타 (SONATA),일반,미견인,53b8f9ca-4,주행형CCTV
59오2449,2020-04-28 11:52,40000,장안동,430-3,주행형CCTV,5,수시분수납,34,주차방법위반,승용,아반떼(AVANTE),일반,미견인,24d15ecb-9,주행형CCTV
30우0824,2020-04-28 12:00,32000,장안동,430-18,주행형CCTV,5,자납,34,주차방법위반,승용,EQ900,일반,미견인,83d0edf3-1,주행형CCTV
45수6617,2020-04-28 12:00,40000,장안동,430-3,주행형CCTV,5,압류,34,주차방법위반,승용,디스커버리4 3.0D,일반,미견인,8c4f9686-9,주행형CCTV
40호4217,2020-04-28 12:00,40000,장안동,430-2,주행형CCTV,5,압류예정,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,9990acdd-e,주행형CCTV
43부0897,2020-04-28 13:05,32000,장안동,362-9,주행형CCTV,5,자납,34,주차방법위반,승용,S350 d 4Matic L,일반,미견인,c5610b73-e,주행형CCTV
57로1514,2020-04-28 13:05,40000,장안동,362-9,주행형CCTV,5,압류,32,횡단보도,승용,그랜저(GRANDEUR),일반,미견인,674131b6-9,주행형CCTV
서울91자1420,2020-04-28 13:09,40000,장안동,364-1,주행형CCTV,5,압류,34,주차방법위반,화물4톤이하,봉고Ⅲ 1톤,일반,미견인,9d80f41e-d,주행형CCTV
111노3568,2020-04-28 13:10,32000,장안동,430-18,주행형CCTV,5,자납,34,주차방법위반,승용,G80,일반,미견인,cd9feeeb-a,주행형CCTV
07허4687,2020-04-28 13:10,32000,장안동,430-3,주행형CCTV,5,자납,34,주차방법위반,승용,레이,일반,미견인,a4237d6e-a,주행형CCTV
34호5155,2020-04-28 13:10,32000,장안동,430-18,주행형CCTV,5,자납,34,주차방법위반,승용,레이,일반,미견인,4a9eb6ba-d,주행형CCTV
02마9799,2020-04-28 13:10,40000,장안동,430-4,주행형CCTV,5,압류,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,e3ef2bba-3,주행형CCTV
159하7614,2020-04-28 13:12,32000,장안동,433-3,주행형CCTV,5,자납,32,버스정류소,승용,쏘나타(SONATA),일반,미견인,0cad9b4e-6,주행형CCTV
89모0556,2020-04-28 13:16,32000,장안동,366-1,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ (PORTERⅡ),일반,미견인,56f99d76-8,주행형CCTV
서울31바2761,2020-04-28 13:18,32000,장안동,372-5,주행형CCTV,5,자납,32,횡단보도,승용,쏘나타 (SONATA),일반,미견인,d1a16090-3,주행형CCTV
07고1454,2020-04-28 13:20,40000,장안동,374-3,주행형CCTV,5,압류해제수납,34,주차방법위반,승용,QM3,일반,미견인,ddc797a9-e,주행형CCTV
63어7523,2020-04-28 13:22,32000,장안동,430-18,주행형CCTV,5,자납,34,주차방법위반,승용,싼타페(SANTAFE),일반,미견인,4d98d537-e,주행형CCTV
68저0533,2020-04-28 13:25,32000,장안동,365-9,주행형CCTV,5,자납,34,주차방법위반,승용,쏘렌토,일반,미견인,5144f2cf-1,주행형CCTV
21하2935,2020-04-28 13:27,40000,장안동,374-1,주행형CCTV,5,수시분수납,34,주차방법위반,승용,말리부 2.0 TURBO,일반,미견인,c02b99d4-2,주행형CCTV
35버6163,2020-04-28 13:27,32000,장안동,374-1,주행형CCTV,5,자납,34,주차방법위반,승용,스포티지,일반,미견인,ca225c8e-d,주행형CCTV
91소3360,2020-04-28 13:28,32000,장안동,375-1,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ윙바디 (PORTER Ⅱ),일반,미견인,bea49e86-8,주행형CCTV
25두2150,2020-04-28 13:28,40000,장안동,375-1,주행형CCTV,5,압류,34,주차방법위반,승용,S350 BlueTEC 4Matic,일반,미견인,3960a1b8-a,주행형CCTV
88소0335,2020-04-28 13:29,40000,장안동,435-5,주행형CCTV,5,수시분수납,34,주차방법위반,화물4톤이하,그랜드스타렉스３밴냉동차(GRAND STAREX),일반,미견인,47f1614c-2,주행형CCTV
89루4975,2020-04-28 13:29,32000,장안동,435-6,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,그랜드 스타렉스(GRAND STAREX),일반,미견인,d2cb6e97-c,주행형CCTV
53구4139,2020-04-28 13:29,32000,장안동,435-5,주행형CCTV,5,자납,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,91acd039-d,주행형CCTV
