역사_ID,역사명,호선,위도,경도
"2746",대림(구로구청),7호선,126.897075,37.493013
"2747",남구로,7호선,126.887249,37.486056
"2748",가산디지털단지,7호선,126.882656,37.480338
"2751",천왕,7호선,126.838713,37.486637
"2752",온수(성공회대입구),7호선,126.823023,37.492092
"2811",암사,8호선,127.127562,37.55021
"2812",천호(풍납토성),8호선,127.123254,37.538113
"2813",강동구청,8호선,127.120508,37.530341
"2814",몽촌토성(평화의문),8호선,127.112359,37.517409
"2815",잠실(송파구청),8호선,127.104338,37.514692
"2816",석촌,8호선,127.106832,37.505557
"2817",송파,8호선,127.112183,37.499703
"2818",가락시장,8호선,127.118398,37.492888
"2819",문정,8호선,127.1225,37.485855
"2820",장지,8호선,127.126191,37.478703
"2821",복정,8호선,127.126732,37.471052
"4101",개화,9호선,126.798153,37.578608
"4102",김포공항,9호선,126.802152,37.561916
"4103",공항시장,9호선,126.810678,37.563726
"4104",신방화,9호선,126.816601,37.567532
"4105",마곡나루,9호선,126.82731,37.566778
"4106",양천향교,9호선,126.841333,37.568381
"4107",가양,9호선,126.854456,37.561391
"4108",증미,9호선,126.861939,37.557402
"4109",등촌,9호선,126.865689,37.550632
"4110",염창,9호선,126.874916,37.546936
"4111",신목동,9호선,126.88308,37.544277
"4112",선유도,9호선,126.893525,37.53802
"4113",당산,9호선,126.902809,37.533406
"4114",국회의사당,9호선,126.917874,37.528105
"4115",여의도,9호선,126.92403,37.52176
"4116",샛강,9호선,126.928422,37.517274
"4117",노량진,9호선,126.941005,37.513534
"4118",노들,9호선,126.953222,37.512887
"4119",흑석(중앙대입구),9호선,126.963708,37.50877
"4120",동작(현충원),9호선,126.978153,37.502878
"4121",구반포,9호선,126.987332,37.501364
"4122",신반포,9호선,126.995925,37.503415
"4123",고속터미널,9호선,127.004403,37.50598
"4124",사평,9호선,127.015259,37.504206
"4125",신논현,9호선,127.02506,37.504598
"4126",언주,9호선(연장),127.033868,37.507287
"4127",선정릉,9호선(연장),127.043999,37.510297
"4128",삼성중앙,9호선(연장),127.053282,37.513011
"4129",봉은사,9호선(연장),127.060245,37.514219
"4130",종합운동장,9호선(연장),127.076275,37.511426
"4131",삼전,9호선(연장),127.088025,37.504738
"4132",석촌고분,9호선(연장),127.097033,37.502558
"4133",석촌,9호선(연장),127.10704,37.505208
"4134",송파나루,9호선(연장),127.112216,37.510372
"4135",한성백제,9호선(연장),127.116503,37.516404
"4136",올림픽공원(한국체대),9호선(연장),127.130288,37.516269
"4137",둔촌오륜,9호선(연장),127.137989,37.519683
"4138",중앙보훈병원,9호선(연장),127.148739,37.529191
"4201",서울역,공항철도1호선,126.969769,37.553247
"4202",공덕,공항철도1호선,126.952024,37.54253
"4203",홍대입구,공항철도1호선,126.926715,37.557438
"4204",디지털미디어시티,공항철도1호선,126.898609,37.576958
"4206",마곡나루,공항철도1호선,126.827378,37.565543
"4207",김포공항,공항철도1호선,126.801904,37.561842
"4304",신사,신분당선(연장2),127.020114,37.516334
"4305",논현,신분당선(연장2),127.021415,37.511093
"4306",신논현,신분당선(연장2),127.02506,37.504598
"4307",강남,신분당선,127.028104,37.496837
"4308",양재(서초구청),신분당선,127.034653,37.483809
"4309",양재시민의숲(매헌),신분당선,127.03842,37.470023
"4310",청계산입구,신분당선,127.055664,37.447211
"4401",샛강,신림선,126.929399,37.5170969
"4402",대방,신림선,126.9257265,37.5133059
"4403",서울지방병무청,신림선,126.9227083,37.5060464
"4404",보라매,신림선,126.9204355,37.5002739
"4405",보라매공원,신림선,126.9180827,37.4955691
"4406",보라매병원,신림선,126.9234964,37.4929598
"4407",당곡,신림선,126.9275133,37.4902998
"4408",신림,신림선,126.9296159,37.4849266
"4409",서원,신림선,126.9330365,37.4782341
"4410",서울대벤처타운,신림선,126.9339351,37.4720019
"4411",관악산(서울대),신림선,126.9450639,37.4691018
"4701",북한산우이,우이신설선,127.012706,37.662909
"4702",솔밭공원,우이신설선,127.013273,37.65603
"4703",4.19민주묘지,우이신설선,127.013684,37.649502
"4704",가오리,우이신설선,127.016789,37.641537
"4705",화계,우이신설선,127.017511,37.634133
"4706",삼양,우이신설선,127.018106,37.626914
"4707",삼양사거리,우이신설선,127.020473,37.621337
"4708",솔샘,우이신설선,127.013626,37.620238
"4709",북한산보국문,우이신설선,127.008251,37.612072
"4710",정릉,우이신설선,127.013396,37.603133
"4711",성신여대입구(돈암),우이신설선,127.016516,37.592467
"4712",보문,우이신설선,127.019381,37.585286
"4713",신설동,우이신설선,127.023242,37.576095
"4929",김포공항,김포골드라인,126.801868,37.56236
"9995",강일,5호선,127.17593,37.55749
