번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),점포구분명
13,대규모점포,08_25_01_P,3060000,2.01E+18,20010418,,1,영업/정상,1,정상영업,,,,,02-439-1144,9776.28,,서울특별시 중랑구 상봉동 81호,서울특별시 중랑구 망우로 336 (상봉동),131858,코스트코홀세일 상봉점,2.02E+13,I,59:59.0,대형마트,207897.2604,454953.3634,대규모점포
14,대규모점포,08_25_01_P,3030000,2.01E+18,20050331,,1,영업/정상,1,정상영업,,,,,02-3408-1234,17318,133120,서울특별시 성동구 성수동2가 333번지 16호,서울특별시 뚝섬로 379,133120,(주)이마트 성수점,2.02E+13,U,40:00.0,대형마트,204614.2727,448607.4413,대규모점포
15,대규모점포,08_25_01_P,3030000,2.01E+18,20080627,,1,영업/정상,1,정상영업,,,,,02  22001234,11573,133071,서울특별시 성동구 행당동 168번지 1호,서울특별시 성동구 왕십리광장로 17 (행당동),133866,(주)이마트 왕십리점,2.02E+13,U,40:00.0,대형마트,203292.1518,451267.731,대규모점포
16,대규모점포,08_25_01_P,3110000,2.01E+18,20090928,,1,영업/정상,1,정상영업,,,,,02  69431052,6881.2,122090,서울특별시 은평구 수색동 75번지,서울특별시 은평구 수색로 217 (수색동),,(주)이마트 수색점,2.02E+13,U,40:00.0,대형마트,190977.8506,453037.788,대규모점포
17,대규모점포,08_25_01_P,3110000,2.01E+18,20011031,,1,영업/정상,1,정상영업,,,,,02-380-1054,16105.48,122010,서울특별시 은평구 응암동 90번지 1호,서울특별시 은평구 은평로 111 (응암동),,(주)이마트 은평점,2.02E+13,U,40:00.0,대형마트,192882.8377,455340.5406,대규모점포
18,대규모점포,08_25_01_P,3020000,2.01E+18,20120313,,1,영업/정상,1,정상영업,,,,,220772800,3271,140012,서울특별시 용산구 한강로2가 15번지 19호,서울특별시 용산구 청파로 122 (한강로2가),140012,(주)농협유통하나로클럽용산점,2.02E+13,U,40:00.0,대형마트,196813.2585,447881.9708,대규모점포
19,대규모점포,08_25_01_P,3140000,2.01E+18,20110520,,1,영업/정상,1,정상영업,,,,,269231234,14074.76,158766,서울특별시 양천구 목1동 962번지 1호 목동트라팰리스 내,서울특별시 양천구 오목로 299 (목동),158766,(주)이마트 목동점,2.02E+13,U,40:00.0,대형마트,188551.2991,447076.2881,대규모점포
20,대규모점포,08_25_01_P,3180000,2.00E+18,20011203,,1,영업/정상,1,정상영업,,,,,221658101,35687.74,150991,서울특별시 영등포구 문래동3가 55번지 3호,서울특별시 영등포구  당산로  42 (문래동3가),150991,홈플러스(주) 영등포점,2.02E+13,U,40:00.0,대형마트,190729.5065,446227.075,대규모점포
21,대규모점포,08_25_01_P,3180000,2.01E+18,20051111,,1,영업/정상,1,정상영업,,,,,02-2630-2651,8724.73,,서울특별시 영등포구 양평동3가 65호,서울특별시 영등포구 선유로 156 (양평동3가),,코스트코 홀세일,2.02E+13,I,59:59.0,대형마트,190408.5091,447298.0222,대규모점포
22,대규모점포,08_25_01_P,3180000,2.00E+18,20010925,,1,영업/정상,1,정상영업,,,,,02 21652510,12066.16,,서울특별시 영등포구 영등포동8가 62번지 1호,서울특별시 영등포구 영중로 125 (영등포동8가),150038,롯데쇼핑(주) VIC마켓 영등포점,2.02E+13,U,40:00.0,대형마트,191503.3861,447289.5484,대규모점포
23,대규모점포,08_25_01_P,3180000,2.01E+18,20080507,,1,영업/정상,1,정상영업,,,,,,3536.87,150010,서울특별시 영등포구 여의도동 47번지 여의도자이(아) 지하 1층,"서울특별시 영등포구 여의동로3길 10 (여의도동,여의도자이(아) 지하 1층)",,신세계 이마트 여의도점,2.01E+13,I,59:59.0,대형마트,193393.0966,446218.4438,
24,대규모점포,08_25_01_P,3170000,2.00E+18,20020618,,1,영업/정상,1,정상영업,,20120130,20120624,20120625,02  21458500,12561,,서울특별시 금천구 독산동 295번지 10  호 외 5,서울특별시 금천구 두산로 71 (독산동),153813,롯데쇼핑(주) VIC 마켓 금천점,2.02E+13,U,40:00.0,대형마트,190704.9043,440940.3844,대규모점포
25,대규모점포,08_25_01_P,3040000,2.01E+18,20061214,,1,영업/정상,1,정상영업,,,,,220241234,11045.55,,서울특별시 광진구 자양동 227번지 7호,서울특별시 광진구 아차산로 272 (자양동),143758,(주)이마트 자양점,2.02E+13,U,40:00.0,대형마트,206349.675,448396.9397,대규모점포
26,대규모점포,08_25_01_P,3050000,2.00E+18,20031023,,1,영업/정상,1,정상영업,,,,,221738123,12010,130817,서울특별시 동대문구 용두동 33번지 1호,서울특별시 동대문구 천호대로 133 (용두동),130817,홈플러스(주) 동대문점,2.02E+13,U,40:00.0,대형마트,203356.9574,452469.3002,대규모점포
27,대규모점포,08_25_01_P,3170000,2.00E+18,20031002,,1,영업/정상,1,정상영업,,,,,02  890 8125,29885.04,,서울특별시 금천구 독산동 291번지 7호,서울특별시 금천구 시흥대로 391 (독산동),,홈플러스(주) 금천점,2.02E+13,U,40:00.0,대형마트,190809.5078,440728.3823,대규모점포
28,대규모점포,08_25_01_P,3050000,2.01E+18,20100811,,1,영업/정상,1,정상영업,,,,,02-3706-4710,10910.6,130851,서울특별시 동대문구 전농1동 591번지 53호,서울특별시 동대문구 왕산로 214 (전농동),130851,롯데쇼핑(주)롯데마트 청량리점,2.02E+13,U,40:00.0,대형마트,204081.2821,453187.3952,대규모점포
29,대규모점포,08_25_01_P,3150000,2.01E+18,20050826,,1,영업/정상,1,정상영업,,,,,226608121,22173,157840,서울특별시 강서구 등촌동 639번지 11호,서울특별시 강서구  화곡로  398 (등촌동),157840,홈플러스(주) 강서점,2.02E+13,U,40:00.0,대형마트,187119.9482,450691.5932,대규모점포
30,대규모점포,08_25_01_P,3050000,2.01E+18,20111228,,1,영업/정상,1,정상영업,,,,,269082123,1478.96,130100,서울특별시 동대문구 장안동 580번지,서울특별시 동대문구 한천로 42 (장안동),130837,노브랜드 동대문 장안점,2.02E+13,U,40:00.0,대형마트,205423.9695,451556.2106,준대규모점포
31,대규모점포,08_25_01_P,3080000,2.01E+18,20110823,,1,영업/정상,1,정상영업,,,,,6933-8701,490,142100,서울특별시 강북구 미아동 1357번지 6호,서울특별시 강북구 삼양로27길 35-21 (미아동),142807,(주)지에스리테일GS수퍼 강북미아점,2.02E+13,I,59:59.0,대형마트,201602.5775,457290.1007,준대규모점포
32,대규모점포,08_25_01_P,3080000,2.01E+18,20111202,,1,영업/정상,1,정상영업,,,,,32813652,500.56,142807,서울특별시 강북구 미아동 1351번지,"서울특별시 강북구 도봉로 157, 112호 (미아동, 두원프라자)",142814,(주)이마트에브리데이 미아동점,2.02E+13,U,40:00.0,대형마트,202314.4797,457821.8531,준대규모점포
33,대규모점포,08_25_01_P,3100000,2.00E+18,20011207,,1,영업/정상,1,정상영업,,,,,02-986-2080,12840,139926,서울특별시 노원구 중계동 509번지 2호,서울특별시 노원구 동일로204가길 12 (중계동),139926,홈플러스(주) 중계점,2.02E+13,U,40:00.0,대형마트,205985.9533,459730.4378,대규모점포
34,대규모점포,08_25_01_P,3150000,2.01E+18,20081031,,1,영업/정상,1,정상영업,,,,,02-2063-2080,10037,157202,서울특별시 강서구 가양동 18번지 24호,"서울특별시 강서구 양천로 431 (가양동, 홈플러스)",157800,홈플러스(주) 가양점,2.02E+13,U,40:00.0,대형마트,186687.1318,451342.7735,대규모점포
35,대규모점포,08_25_01_P,3010000,2.00E+18,20040601,,1,영업/정상,1,정상영업,,,,,02   4118500,11090.62,,서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),100162,롯데쇼핑(주)롯데마트서울역점,2.02E+13,U,40:00.0,대형마트,197242.9948,450658.9479,대규모점포
36,대규모점포,08_25_01_P,3010000,2.01E+18,20080626,,1,영업/정상,1,정상영업,,,,,02-2290-1234,20144.48,100899,서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400-0 (황학동),100899,주식회사 이마트 청계천점,2.02E+13,U,40:00.0,대형마트,201823.909,452076.8187,대규모점포
37,대규모점포,08_25_01_P,3230000,2.01E+18,20140717,,1,영업/정상,1,정상영업,,,,,02-2145-8494,6665.89,,서울특별시 송파구 신천동 29번지 롯데월드타워앤드롯데월드몰,"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 (신천동)",5551,롯데쇼핑(주) 롯데마트 월드타워점,2.02E+13,U,40:00.0,대형마트,209074.9008,445657.8093,대규모점포
38,대규모점포,08_25_01_P,3000000,2.01E+18,20111220,,1,영업/정상,1,정상영업,,,,,27379994,432.9,110061,서울특별시 종로구 신문로1가 24번지  고려빌딩 1층,"서울특별시  새문안로 91, 1층 (고려빌딩)",110796,홈플러스(주)익스프레스 광화문점,2.02E+13,U,40:00.0,대형마트,197700.034,452022.5035,준대규모점포
39,대규모점포,08_25_01_P,3210000,2.01E+18,20120424,,1,영업/정상,1,정상영업,,,,,02-536-0004,1049.58,137061,서울특별시 서초구 방배1동 816번지 1호,서울특별시 방배로33길 29,137832,롯데슈퍼 방배2점,2.02E+13,U,40:00.0,대형마트,198984.3648,443229.8359,준대규모점포
40,대규모점포,08_25_01_P,3210000,2.02E+18,20150203,,1,영업/정상,1,정상영업,,,,,02-2145-8000,12066.12,,"서울특별시 서초구 서초동 1498번지 5호  (영업장 지하1층,지하2층)",,,롯데쇼핑(주) 롯데마트 서초점,2.02E+13,U,40:00.0,대형마트,200440.0108,443124.6714,대규모점포
41,대규모점포,08_25_01_P,3210000,2.01E+18,20050330,,1,영업/정상,1,정상영업,,,,,221551052,9250,,서울특별시 서초구 양재동 215호 하이브랜드 지하1층,"서울특별시 서초구 매헌로 16 (양재동,하이브랜드 지하1층)",,(주)이마트 양재점,2.02E+13,U,40:00.0,대형마트,203204.7556,440136.7812,대규모점포
42,대규모점포,08_25_01_P,3000000,2.00E+18,20040430,,1,영업/정상,1,정상영업,,,,,02 3995591,,,서울특별시 종로구 서린동 33호,,,영풍문고,2.01E+13,I,59:59.0,대형마트,198351.8187,451921.603,
43,대규모점포,08_25_01_P,3230000,2.01E+18,20070709,,1,영업/정상,1,정상영업,,,,,234688122,13934.64,,서울특별시 송파구 신천동 7번지 12  호,서울특별시 송파구 올림픽로35가길 16 (신천동),138240,홈플러스(주)잠실점,2.02E+13,U,40:00.0,대형마트,209039.148,446007.9668,대규모점포
44,대규모점포,08_25_01_P,3230000,2.00E+18,20000713,,1,영업/정상,1,정상영업,,,,,220067710,17693,,서울특별시 송파구 문정동 150번지 2호,서울특별시 송파구 중대로 80 (문정동),138885,롯데쇼핑(주)롯데마트 송파점,2.02E+13,U,40:00.0,대형마트,210343.6993,443288.285,대규모점포
45,대규모점포,08_25_01_P,3170000,2.01E+18,20081024,,1,영업/정상,1,정상영업,,,,,895 2080,14972,153031,서울특별시 금천구 시흥동 992번지 47호,서울특별시 금천구 시흥대로 201 (시흥동),,홈플러스 시흥점,2.02E+13,U,40:00.0,대형마트,191152.4326,438865.1607,대규모점포
46,대규모점포,08_25_01_P,3200000,2.01E+18,20111026,,1,영업/정상,1,정상영업,,,,,02-3285-3651,414.86,151826,서울특별시 관악구 은천동 937번지 6호 동영빌딩 1층,서울특별시 관악구 은천로 51 (봉천동),151826,(주)이마트에브리데이 봉천동점,2.02E+13,U,40:00.0,대형마트,194770.4174,442676.8314,준대규모점포
47,대규모점포,08_25_01_P,3200000,2.01E+18,20130627,,1,영업/정상,1,정상영업,,,,,02-6948-8121,14784,151080,서울특별시 관악구 남현동 산 69번지 51호,서울특별시 관악구 과천대로 909 (남현동),151801,홈플러스 서울남현점,2.02E+13,U,40:00.0,대형마트,198374.4733,441033.513,대규모점포
48,대규모점포,08_25_01_P,3090000,2.00E+18,20030625,,1,영업/정상,1,정상영업,,,,,209122080,15851.56,132854,서울특별시 도봉구 방학동 707번지 7호,서울특별시 도봉구 도봉로 678 (방학동),132854,홈플러스(주)방학점,2.02E+13,U,40:00.0,대형마트,203790.0136,462495.417,대규모점포
49,대규모점포,08_25_01_P,3090000,2.01E+18,20100402,,1,영업/정상,1,정상영업,,,,,02-901-1050,4297.5,132904,서울특별시 도봉구 창동 135번지 26호,서울특별시 도봉구 노해로65길 4 (창동),132904,(주) 이마트 창동점,2.02E+13,U,40:00.0,대형마트,204107.0903,461072.6424,대규모점포
50,대규모점포,08_25_01_P,3240000,2.01E+18,20050331,,1,영업/정상,1,정상영업,,,,,2224 1053,9081,,서울특별시 강동구 천호동 454번지 1호,서울특별시 강동구 천호대로 1017 (천호동),134874,(주)이마트천호점,2.02E+13,U,40:00.0,대형마트,211025.925,448495.1892,대규모점포
51,대규모점포,08_25_01_P,3240000,2.01E+18,20081107,,1,영업/정상,1,정상영업,,,,,234008000,14176,134861,서울특별시 강동구 천호동 42번지,서울특별시 강동구 양재대로 1571 (천호동),134861,홈플러스 강동점,2.02E+13,U,40:00.0,대형마트,212501.3691,449282.3104,대규모점포
52,대규모점포,08_25_01_P,3240000,2.00E+18,20021120,,1,영업/정상,1,정상영업,,,,,221451051,8659,,서울특별시 강동구 명일동 46번지 4 호,서울특별시 강동구 고덕로 276 (명일동),134825,(주)이마트명일점,2.02E+13,U,40:00.0,대형마트,213700.8777,450278.1009,대규모점포
53,대규모점포,08_25_01_P,3130000,2.01E+18,20101223,,1,영업/정상,1,정상영업,,,,,3809414,5687.96,121802,서울특별시 마포구 공덕동 173번지 대우월드마크마포,서울특별시 마포구 백범로 212 (신공덕동),121030,(주)이마트 마포점,2.02E+13,U,40:00.0,대형마트,195808.9045,448910.7413,대규모점포
54,대규모점포,08_25_01_P,3130000,2.01E+18,20101223,,1,영업/정상,1,정상영업,,,,,2197-1234,5687.96,121852,서울특별시 마포구 신공덕동 173번지,서울특별시 마포구  백범로  212 (신공덕동),121852,(주)이마트 마포점,2.02E+13,U,40:00.0,대형마트,195808.9045,448910.7413,대규모점포
55,대규모점포,08_25_01_P,3130000,2.01E+18,20110106,,1,영업/정상,1,정상영업,,,,,34598000,14201,,서울특별시 마포구 서교동 490번지 1호,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",4036,홈플러스 합정점,2.02E+13,U,40:00.0,대형마트,192311.6426,449855.6439,대규모점포
56,대규모점포,08_25_01_P,3160000,2.01E+18,20070813,,1,영업/정상,1,정상영업,,,,,226182080,11914,,서울특별시 구로구 신도림동 337번지 신도림1차푸르지오,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 (신도림동)",8208,홈플러스(주) 신도림점,2.02E+13,U,40:00.0,대형마트,190005.1325,445250.5389,대규모점포
57,대규모점포,08_25_01_P,3160000,2.01E+18,20070927,,1,영업/정상,1,정상영업,,,,,380-5234,7337,,서울특별시 구로구 구로동 3번지 25호 외 31필지,"서울특별시 구로구 새말로 97 (구로동,외 31필지)",,(주) 이마트 신도림점,2.02E+13,U,40:00.0,대형마트,190232.5245,444978.6827,대규모점포
58,대규모점포,08_25_01_P,3160000,2.01E+18,19990727,,1,영업/정상,1,정상영업,,,,,"2009-1001,1051",9927.72,152050,서울특별시 구로구 구로동 188번지 26호,서울특별시 구로구 디지털로32길 43 (구로동),,(주)이마트 구로점,2.02E+13,U,40:00.0,대형마트,190901.9779,442466.8134,대규모점포
59,대규모점포,08_25_01_P,3240000,2.01E+18,20110927,,1,영업/정상,1,정상영업,,,,,4410671,324,134857,서울특별시 강동구 암사1동 473번지 3호,서울특별시 강동구 고덕로24길 50 (암사동),134854,홈플러스(주) 익스프레스 암사점,2.02E+13,U,40:00.0,대형마트,211868.2443,450020.3552,준대규모점포
60,대규모점포,08_25_01_P,3220000,2.01E+18,20061024,,1,영업/정상,1,정상영업,,,,,02-6908-1051,5174,135080,서울특별시 강남구 역삼동 755번지,서울특별시 강남구 역삼로 310 (역삼동),135926,(주)이마트 역삼점,2.01E+13,I,59:59.0,대형마트,204213.6432,444113.0282,대규모점포
61,대규모점포,08_25_01_P,3110000,2.00E+18,20011101,,2,휴업,2,휴업처리,,,,,02 34845153,10966.73,,서울특별시 은평구 응암동 90번지 1호,서울특별시 은평구 은평로 111 (응암동),,신세계이마트 은평점,2.01E+13,I,59:59.0,대형마트,192882.8377,455340.5406,
62,대규모점포,08_25_01_P,3110000,2.00E+18,20011101,,2,휴업,2,휴업처리,,,,,02 34845153,0,,서울특별시 은평구 응암동 90번지 1호,서울특별시 은평구 은평로 111 (응암동),,신세계이마트 은평점,2.01E+13,I,59:59.0,대형마트,192882.8377,455340.5406,
63,대규모점포,08_25_01_P,3170000,2.00E+18,20020618,,2,휴업,2,휴업처리,,,,,230161500,14972.02,,서울특별시 금천구 시흥동 992번지 47호 외 1,"서울특별시 금천구 시흥대로 201 (시흥동,외 1)",,(주)이랜드리테일 홈에버 시흥점,2.01E+13,I,59:59.0,대형마트,191152.4326,438865.1607,
64,대규모점포,08_25_01_P,3150000,2.00E+18,20040503,,2,휴업,2,휴업처리,,,,,226060101,,,서울특별시 강서구 화곡동 1095호,,,그랜드백화점(주)마트화곡점,2.01E+13,I,59:59.0,대형마트,186786.6225,450297.7027,
65,대규모점포,08_25_01_P,3150000,2.01E+18,20060210,,2,휴업,2,휴업처리,,,,,226608000,0,,서울특별시 강서구 등촌동 639번지 11호,,,삼성테스코(주)홈플러스강서점,2.01E+13,I,59:59.0,대형마트,187119.9482,450691.5932,
66,대규모점포,08_25_01_P,3100000,2.00E+18,20021114,,2,휴업,2,휴업처리,,,,,02 9859000,10209,,서울특별시 노원구 하계동 284호,,,세이브존,2.01E+13,I,59:59.0,대형마트,205994.8118,459502.6453,
67,대규모점포,08_25_01_P,3100000,2.01E+18,20050329,,2,휴업,2,휴업처리,,20100413,20150430,,220921234,16179.91,,서울특별시 노원구 월계동 333번지 1호,,,신세계 이마트 월계점,2.01E+13,I,59:59.0,대형마트,205391.0704,458333.9892,
68,대규모점포,08_25_01_P,3100000,2.01E+18,20050527,,2,휴업,2,휴업처리,,,,,02  9859000,10209,,서울특별시 노원구 하계동 284호,,,세이브존,2.01E+13,I,59:59.0,대형마트,205994.8118,459502.6453,
69,대규모점포,08_25_01_P,3240000,2.00E+18,20000614,,2,휴업,2,휴업처리,,,,,204887244,,,서울특별시 강동구 천호동 565호,,,킴스클럽,2.01E+13,I,59:59.0,대형마트,211750.8962,448202.6325,
70,대규모점포,08_25_01_P,3240000,2.00E+18,20010327,,2,휴업,2,휴업처리,,,,,222241053,,,서울특별시 강동구 천호동 454번지 0001호,,,이마트천호점,2.01E+13,I,59:59.0,대형마트,211025.925,448495.1892,
71,대규모점포,08_25_01_P,3160000,2.01E+18,20050601,,2,휴업,2,휴업처리,,,,,02  26392500,10502,,서울특별시 구로구 구로동 636번지 89호,서울특별시 구로구 경인로 482 (구로동),,롯데마트 구로점,2.01E+13,I,59:59.0,대형마트,188669.4844,444010.7384,
72,대규모점포,08_25_01_P,3160000,2.01E+18,20050601,,2,휴업,2,휴업처리,,,,,02  26392500,10502,,서울특별시 구로구 구로동 636번지 89호,서울특별시 구로구 경인로 482 (구로동),,롯데마트 구로점,2.01E+13,I,59:59.0,대형마트,188669.4844,444010.7384,
73,대규모점포,08_25_01_P,3160000,2.01E+18,20050601,,2,휴업,2,휴업처리,,,,,02  769 5828,6745,,서울특별시 구로구 구로동 636번지 89호,서울특별시 구로구 경인로 482 (구로동),,비엔큐홈(구로점),2.01E+13,I,59:59.0,대형마트,188669.4844,444010.7384,
74,대규모점포,08_25_01_P,3160000,2.01E+18,20050331,,2,휴업,2,휴업처리,,,,,,8555,,서울특별시 구로구 구로동 188번지 26호,서울특별시 구로구 디지털로32길 43 (구로동),,(주)신세계이마트구로점,2.01E+13,I,59:59.0,대형마트,190901.9779,442466.8134,
75,대규모점포,08_25_01_P,3160000,2.01E+18,20050331,,2,휴업,2,휴업처리,,,,,,8555,,서울특별시 구로구 구로동 188번지 26호,서울특별시 구로구 디지털로32길 43 (구로동),,(주)신세계이마트구로점,2.01E+13,I,59:59.0,대형마트,190901.9779,442466.8134,
76,대규모점포,08_25_01_P,3220000,2.00E+18,19990714,,2,휴업,2,휴업처리,,,,,02 5696396,5174,,서울특별시 강남구 역삼동 755호 한솔필리아지층,,,(주)신세계마트 이마트 역삼점,2.01E+13,I,59:59.0,대형마트,204213.6432,444113.0282,
77,대규모점포,08_25_01_P,3170000,2.00E+18,20031002,,1,영업/정상,BBBB,,,,,,234598000,26776,,서울특별시 금천구 독산동 291번지 7호,서울특별시 금천구 시흥대로 391 (독산동),,삼성테스코(주)홈플러스 금천점,2.01E+13,I,59:59.0,대형마트,190809.5078,440728.3823,
78,대규모점포,08_25_01_P,3170000,2.00E+18,20031017,,1,영업/정상,BBBB,,,,,,02  34598000,26776.55,,서울특별시 금천구 독산동 291번지 7호,서울특별시 금천구 시흥대로 391 (독산동),,삼성테스코(주)홈플러스 금천점,2.01E+13,I,59:59.0,대형마트,190809.5078,440728.3823,
79,대규모점포,08_25_01_P,3240000,2.00E+18,20021120,,1,영업/정상,BBBB,,,,,,204296240,8659.77,,서울특별시 강동구 명일동 46번지 4호,,,신세계 이마트 명일점,2.01E+13,I,59:59.0,대형마트,213700.8777,450278.1009,
