도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
아름꿈도서관,서울특별시,종로구,공공도서관,일+1월1일+설+추석,10:00,19:00,10:00,19:00,10:00,19:00,97,28262,0,917,5,15,서울특별시 종로구 종로58가길 19,종로문화재단,02-2237-6644,598.6,524.1,http://lib.jongno.go.kr/,37.5726975,127.0171157,2022-04-18,3000000,서울특별시 종로구
어린이청소년국학도서관,서울특별시,종로구,공공도서관,일+1월1일+설+추석+법정공휴일,10:00,21:00,10:00,19:00,0:00,0:00,80,15425,0,0,5,15,서울특별시 종로구 명륜길 26(명륜동 와룡문화센터 5층),종로문화재단,02-747-8336,1243.8,511.6,http://lib.jongno.go.kr/,37.5886859,126.9955389,2022-04-18,3000000,서울특별시 종로구
삼청공원 숲속도서관,서울특별시,종로구,작은도서관,월+1월1일+설+추석,10:00,18:00,10:00,18:00,10:00,18:00,50,8743,79,6,5,15,서울특별시 종로구 북촌로 134-3,북촌인심협동조합,02-734-3900,11306,206.3,http://lib.jongno.go.kr/,37.5879786,126.9840854,2022-04-18,3000000,서울특별시 종로구
월곡꿈그림도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,82,18999,9,61,5,14,서울특별시 성북구 화랑로13길 17,성북문화재단,02-6549-1553,340,340,https://www.sblib.seoul.kr/sblib/,37.60477971,127.041073,2022-08-16,3070000,서울특별시 성북구
장위행복누림도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,60,12775,16,0,5,14,서울특별시 성북구 장위로21다길 53,성북문화재단,02-6906-9390,398,398,https://www.sblib.seoul.kr/sblib/,37.61589067,127.045836,2022-08-16,3070000,서울특별시 성북구
성북길빛도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,250,31649,30,1450,5,14,서울특별시 성북구 숭인로8길 52,성북문화재단,02-6949-0031,1396,1397,https://www.sblib.seoul.kr/sblib/,37.60996089,127.026443,2022-08-16,3070000,서울특별시 성북구
이진아기념도서관,서울특별시,서대문구,공공도서관,매주 월요일 및 법정공휴일(일요일제외),9:00,20:00,9:00,17:00,0:00,0:00,238,166562,110,16193,7,14,서울특별시 서대문구 독립문공원길 80,서대문구도시관리공단,02-360-8600,757,2765,http://lib.sdm.or.kr,37.57295354,126.9555487,2022-10-31,3120000,서울특별시 서대문구
남가좌새롬어린이도서관,서울특별시,서대문구,공공도서관,매주 월요일 및 법정공휴일(일요일제외),9:00,18:00,9:00,17:00,0:00,0:00,75,68794,26,661,7,14,서울특별시 서대문구 증가로10길 16-15,서대문구도시관리공단,02-360-8670,287.9,674.58,http://lib.sdm.or.kr,37.57833984,126.9240465,2022-10-31,3120000,서울특별시 서대문구
홍은도담도서관,서울특별시,서대문구,공공도서관,매주 금요일 및 법정공휴일(일요일제외),9:00,20:00,9:00,17:00,0:00,0:00,65,42911,24,169,7,14,서울특별시 서대문구 홍은중앙로 129,서대문구도시관리공단,02-360-8640,474,697.25,http://lib.sdm.or.kr,37.601701,126.9489544,2022-10-31,3120000,서울특별시 서대문구
알음알음작은도서관,서울특별시,서대문구,작은도서관,"토·일요일, 법정공휴일",9:00,18:00,0:00,0:00,0:00,0:00,30,13515,0,0,7,14,"서울특별시 서대문구 경기대로 40, 충현동자치회관",서대문구도시관리공단,02-330-8164,0,106,http://lib.sdm.or.kr,37.562901,126.9623774,2022-10-31,3120000,서울특별시 서대문구
양원숲속도서관,서울특별시,중랑구,공공도서관,월+법정공휴일(일요일 제외)+근로자의 날(5월 1일)+임시휴관일,9:00,18:00,9:00,17:00,0:00,0:00,248,39337,51,2660,7,14,서울특별시 중랑구 송림길 172 (망우동),중랑문화재단,02-432-0710,,970.78,http://www.jungnanglib.seoul.kr/ywlib/,37.606825,127.110697,2022-11-21,3060000,서울특별시 중랑구
중랑상봉도서관,서울특별시,중랑구,공공도서관,월+법정공휴일(일요일 제외)+근로자의 날(5월 1일)+임시휴관일,9:00,20:00,9:00,17:00,0:00,0:00,268,44683,80,0,7,14,서울특별시 중랑구 동일로114길 10 (상봉동),중랑문화재단,02-2209-0090,1372.69,1753.41,http://www.jungnanglib.seoul.kr/sblib/,37.59289195,127.0808518,2022-11-21,3060000,서울특별시 중랑구
자양4동새마을작은도서관,서울특별시,광진구,작은도서관,토+일+공휴일,13:00,17:00,0:00,0:00,0:00,0:00,12,4826,0,0,3,7,서울특별시 광진구 아차산로24길 17(자양동),,02-462-0395,,,,37.54026298,127.0651113,2022-07-05,3040000,서울특별시 광진구
성북정보도서관,서울특별시,성북구,공공도서관,첫째 주 월+셋째 주 월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,535,177398,42,37604,5,14,서울특별시 성북구 화랑로18자길 13,성북문화재단,02-962-1081,2468,6667,https://www.sblib.seoul.kr/sblib/,37.6049514,127.0505858,2022-08-16,3070000,서울특별시 성북구
아리랑도서관,서울특별시,성북구,공공도서관,둘째 주 월+넷째 주 월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,188,97995,45,9270,5,14,서울특별시 성북구 아리랑로 82,성북문화재단,02-3291-4990,2352,2018,https://www.sblib.seoul.kr/sblib/,37.60005935,127.0139286,2022-08-16,3070000,서울특별시 성북구
해오름도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,70,46772,17,1516,5,14,서울특별시 성북구 성북로4길 52,성북문화재단,02-6925-7002,985,342,https://www.sblib.seoul.kr/sblib/,37.59447253,127.012706,2022-08-16,3070000,서울특별시 성북구
종암동새날도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,110,45113,20,2309,5,14,서울특별시 성북구 종암로 98-8,성북문화재단,02-6925-6920,724,578,https://www.sblib.seoul.kr/sblib/,37.5990361,127.0352236,2022-08-16,3070000,서울특별시 성북구
서경로꿈마루도서관,서울특별시,성북구,작은도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,30,11907,16,263,5,14,서울특별시 성북구 서경로 94-1,성북문화재단,02-6925-0300,165,126,https://www.sblib.seoul.kr/sblib/,37.61146229,127.0138628,2022-08-16,3070000,서울특별시 성북구
석관동미리내도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,89,36790,21,924,5,14,서울특별시 성북구 한천로66길 203,성북문화재단,02-960-5067,433,542,https://www.sblib.seoul.kr/sblib/,37.61358176,127.0654922,2022-08-16,3070000,서울특별시 성북구
달빛마루도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,130,59481,26,1562,5,14,서울특별시 성북구 종암로 167,성북문화재단,02-911-0993,13927,829,https://www.sblib.seoul.kr/sblib/,37.6050584,127.0309893,2022-08-16,3070000,서울특별시 성북구
정릉도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,81,35513,27,1118,5,14,서울특별시 성북구 정릉로 242,성북문화재단,02-2038-9928,565,283,https://www.sblib.seoul.kr/sblib/,37.60474125,127.0105819,2022-08-16,3070000,서울특별시 성북구
청수도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,95,40619,27,1121,5,14,서울특별시 성북구 보국문로16가길 20,성북문화재단,02-2038-4423,423,462,https://www.sblib.seoul.kr/sblib/,37.61174732,127.0107732,2022-08-16,3070000,서울특별시 성북구
아리랑어린이도서관,서울특별시,성북구,공공도서관,둘째 주 월+넷째 주 월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,110,35130,18,1447,5,14,서울특별시 성북구 아리랑로 75,성북문화재단,02-6906-9362,693,693,https://www.sblib.seoul.kr/sblib/,37.59883044,127.0136249,2022-08-16,3070000,서울특별시 성북구
이음도서관,서울특별시,성북구,작은도서관,토+일+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,30,5656,5,0,5,14,서울특별시 성북구 보문로 168,성북문화재단,02-6954-0023,179,179,https://www.sblib.seoul.kr/sblib/,37.5894118,127.0168327,2022-08-16,3070000,서울특별시 성북구
중화어린이도서관,서울특별시,중랑구,공공도서관,일+법정공휴일+근로자의날(5월1일)+임시휴관일,9:00,18:00,10:00,17:00,0:00,0:00,50,25150,0,0,7,14,서울특별시 중랑구 중랑역로3길 28 (중화동),중랑문화재단,02-494-1846,763,133,http://www.jungnanglib.seoul.kr/jhklib,37.595004,127.0748925,2022-11-21,3060000,서울특별시 중랑구
한내행복발전소,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,17:00,0:00,0:00,20,11949,0,0,7,14,서울특별시 노원구 마들로3길 15,노원구구립도서관,070-4206-0061,176,,www.nowonlib.kr,37.62650774,127.0619783,2022-08-25,3100000,서울특별시 노원구
하계어린이도서관,서울특별시,노원구　,공공도서관,법정공휴일+일,9:00,18:00,9:00,17:00,0:00,0:00,142,7932,10,0,7,14,서울특별시 노원구 공릉로58가길 13,노원문화재단,02-979-7644,1261,378.1,www.nowonlib.kr,37.6360959,127.0724932,2022-08-25,3100000,서울특별시 노원구
꿈꾸는작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,14,15659,0,0,7,14,서울특별시 노원구 석계로 59,노원구구립도서관,02-2116-2419,65,,www.nowonlib.kr,37.61999132,127.0628836,2022-08-25,3100000,서울특별시 노원구
달내작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,18,12264,0,0,7,14,서울특별시 노원구 초안산로5길 28,노원구구립도서관,02-2116-2449,48.29,,www.nowonlib.kr,37.63251005,127.0507812,2022-08-25,3100000,서울특별시 노원구
도란도란작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,18,13870,0,0,7,14,서울특별시 노원구 동일로186길 3-24,노원구구립도서관,02-2116-2509,177.14,,www.nowonlib.kr,37.62477828,127.0737488,2022-08-25,3100000,서울특별시 노원구
책이랑친구랑작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,8,16932,0,0,7,14,서울특별시 노원구 노원로1길 68,노원구구립도서관,02-2116-2539,142.42,,www.nowonlib.kr,37.62128685,127.083378,2022-08-25,3100000,서울특별시 노원구
가재울작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,15,18182,0,0,7,14,서울특별시 노원구 노원로 261,노원구구립도서관,070-4226-5064,201.64,,www.nowonlib.kr,37.64056069,127.0725588,2022-08-25,3100000,서울특별시 노원구
열린작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,4,13387,0,0,7,14,서울특별시 노원구 공릉로55길 88,노원구구립도서관,02-2116-2609,69,,www.nowonlib.kr,37.63204371,127.067951,2022-08-25,3100000,서울특별시 노원구
책누리작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,25,15062,0,0,7,14,서울특별시 노원구 중계로 143,노원구구립도서관,02-2116-2629,75.49,,www.nowonlib.kr,37.64780319,127.0802848,2022-08-25,3100000,서울특별시 노원구
책사랑북카페,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,46,18388,0,0,7,14,서울특별시 노원구 한글비석로 279,노원구구립도서관,02-2116-2659,175.15,,www.nowonlib.kr,37.65254785,127.077475,2022-08-25,3100000,서울특별시 노원구
하늘작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,38,16898,0,0,7,14,서울특별시 노원구 노원로 17길 56,노원구구립도서관,02-2116-2689,207.35,,www.nowonlib.kr,37.64213069,127.0687306,2022-08-25,3100000,서울특별시 노원구
중계사랑북카페,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,30,18001,0,0,7,14,서울특별시 노원구 덕릉로82길 50,노원구구립도서관,02-2116-2729,133,,www.nowonlib.kr,37.65876429,127.0779756,2022-08-25,3100000,서울특별시 노원구
푸른숲작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,6,6393,0,0,7,14,서울특별시 노원구 동일로 1697,노원구구립도서관,02-2116-2749,76.3,,www.nowonlib.kr,37.67992867,127.0549625,2022-08-25,3100000,서울특별시 노원구
파랑새작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,36,15016,0,0,7,14,서울특별시 노원구 상계로 118,노원구구립도서관,02-2116-2789,107,,www.nowonlib.kr,37.65748394,127.0678654,2022-08-25,3100000,서울특별시 노원구
수락작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,39,19434,0,0,7,14,서울특별시 노원구 덕릉로 859,노원구구립도서관,02-2116-2809,227,,www.nowonlib.kr,37.6729097,127.0832363,2022-08-25,3100000,서울특별시 노원구
해솔작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,12,14757,0,0,7,14,서울특별시 노원구 한글비석로 434,노원구구립도서관,02-2116-2849,70,,www.nowonlib.kr,37.66297906,127.0693664,2022-08-25,3100000,서울특별시 노원구
반디작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,10,14724,0,0,7,14,서울특별시 노원구 동일로227길 97,노원구구립도서관,02-2116-2909,60,,www.nowonlib.kr,37.66673627,127.0515525,2022-08-25,3100000,서울특별시 노원구
한울작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,20,16058,0,0,7,14,서울특별시 노원구 한글비석로 487,노원구구립도서관,02-2116-2929,92.2,,www.nowonlib.kr,37.66452106,127.0638188,2022-08-25,3100000,서울특별시 노원구
가온작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,11,13578,0,0,7,14,서울특별시 노원구 노원로 530,노원구구립도서관,02-2116-2959,67.5,,www.nowonlib.kr,37.66128661,127.0602619,2022-08-25,3100000,서울특별시 노원구
노원문화원,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,34,20313,0,0,7,14,서울특별시 노원구 동일로 197길 24,노원구구립도서관,02-948-1245,134,,www.nowonlib.kr,37.62879908,127.0698014,2022-08-25,3100000,서울특별시 노원구
상계숲속작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,60,12138,0,0,7,14,서울특별시 노원구 동일로 227길 97,노원구구립도서관,02-3391-7889,325,,www.nowonlib.kr,37.66673627,127.0515525,2022-08-25,3100000,서울특별시 노원구
초안산숲속작은도서관,서울특별시,노원구　,작은도서관,법정공휴일+일,9:00,18:00,10:00,13:00,0:00,0:00,50,11442,0,0,7,14,서울특별시 노원구 덕릉로 60길 199,노원구구립도서관,02-905-3900,292,,www.nowonlib.kr,37.63208014,127.0444276,2022-08-25,3100000,서울특별시 노원구
마포어린이영어도서관,서울특별시,마포구,어린이도서관,일+공휴일,10:00,19:00,10:00,18:00,0:00,0:00,20,21706,0,655,4,14,"서울특별시 마포구 도화4길 53, 2층",(학)서강대학교,02-716-3987,,216.48,https://mplib.mapo.go.kr/englib,37.5395351,126.9519221,2022-11-25,3130000,서울특별시 마포구
꿈나래어린이영어도서관,서울특별시,마포구,어린이도서관,일+공휴일,10:00,19:00,10:00,18:00,0:00,0:00,20,20917,0,3306,4,14,"서울특별시 마포구 월드컵로13길 80, 2층",㈜다앤뉴,02-323-1841,,221.33,https://mplib.mapo.go.kr/englib,37.5552351,126.9056841,2022-11-25,3130000,서울특별시 마포구
통인 어린이 작은도서관,서울특별시,종로구,작은도서관,둘째 주 월+넷째 주 월+법정공휴일,10:00,19:00,10:00,17:00,10:00,17:00,50,17040,0,618,5,15,서울특별시 종로구 자하문로13길 20,㈜다앤뉴,02-739-8444,270.9,229.5,http://lib.jongno.go.kr/,37.5804256,126.9705288,2022-04-18,3000000,서울특별시 종로구
도담도담 한옥도서관,서울특별시,종로구,작은도서관,화+법정공휴일,10:00,18:00,10:00,18:00,10:00,18:00,30,7823,0,0,5,15,서울특별시 종로구 숭인동길 43,새마을문고 종로구지부,02-928-1133,188,107.9,http://lib.jongno.go.kr/,37.5769278,127.0218396,2022-04-18,3000000,서울특별시 종로구
청운효자동 북카페,서울특별시,종로구,작은도서관,토+일+법정공휴일,10:00,18:00,0:00,0:00,0:00,0:00,41,7981,0,0,5,15,서울특별시 종로구 자하문로 92(청운효자동 주민센터 2층),액티브봉사단,02-2148-5020,,127,http://lib.jongno.go.kr/,37.5840909,126.9706225,2022-04-18,3000000,서울특별시 종로구
화양동새마을작은도서관,서울특별시,광진구,작은도서관,토+일+공휴일,13:00,17:00,0:00,0:00,0:00,0:00,10,10776,0,0,3,7,서울특별시 광진구 능동로17길 39(화양동),,02-461-2638,,,,37.54653756,127.0713179,2022-07-05,3040000,서울특별시 광진구
꿈꾸는 평창동 작은도서관,서울특별시,종로구,작은도서관,토+일+법정공휴일,10:00,18:00,0:00,0:00,0:00,0:00,13,6967,0,0,5,15,서울특별시 종로구 평창문화로 65(평창동 주민센터 2층),새마을문고 평창동분회,02-2148-5140,,38.5,http://lib.jongno.go.kr/,37.6063736,126.9683668,2022-04-18,3000000,서울특별시 종로구
성신비전스쿨도서관,서울특별시,광진구,작은도서관,월,13:00,19:00,13:00,19:00,0:00,0:00,20,3500,0,0,3,7,서울특별시 광진구 동일로 160(화양동),,02-463-5959,,,,37.546461,127.0666556,2022-07-05,3040000,서울특별시 광진구
이룸도서관,서울특별시,광진구,작은도서관,없음,13:00,18:00,13:00,18:00,9:00,14:00,8,3000,6,0,3,14,서울특별시 광진구 용마산로 49(중곡동),,02-446-0691,,,,37.5579873,127.0875991,2022-07-05,3040000,서울특별시 광진구
사람아이앤지작은도서관,서울특별시,광진구,작은도서관,일,11:00,20:00,11:00,20:00,0:00,0:00,50,6233,2,1,3,7,"서울특별시 광진구 자양로 322, 3층(구의동)",,02-823-4514,,,,37.55392748,127.0940536,2022-07-05,3040000,서울특별시 광진구
샘터작은도서관,서울특별시,광진구,작은도서관,없음,13:00,19:00,13:00,19:00,0:00,0:00,25,10306,0,2,3,7,서울특별시 광진구 용마산로24길 10(중곡동),,02-446-0191,,,,37.5651522,127.087354,2022-07-05,3040000,서울특별시 광진구
국제문학작은도서관,서울특별시,광진구,작은도서관,일,18:00,19:00,13:00,17:00,0:00,0:00,8,2500,3,0,3,7,서울특별시 광진구 광나루로15길 41(군자동),,02-465-7271,,,,37.55012813,127.0696581,2022-07-05,3040000,서울특별시 광진구
사하라작은도서관,서울특별시,광진구,작은도서관,토+일,14:00,18:00,0:00,0:00,0:00,0:00,20,1200,4,0,3,7,"서울특별시 광진구 광장로 78, 2층(광장동, 광성빌딩)",,02-453-7068,,,,37.54761106,127.1056385,2022-07-05,3040000,서울특별시 광진구
성메도서관,서울특별시,마포구,작은도서관,일+공휴일,9:00,18:00,10:00,16:00,0:00,0:00,20,15619,12,0,5,14,"서울특별시 마포구 월드컵북로30길 22, 2층",(사)한국청소년지원네트워크,02-373-4785,,149,https://mplib.mapo.go.kr/libsmall,37.5686111,126.9089751,2022-11-25,3130000,서울특별시 마포구
아름드리도서관,서울특별시,마포구,작은도서관,일+공휴일,10:00,19:00,10:00,16:00,0:00,0:00,20,17984,7,0,5,14,"서울특별시 마포구 방울내로7길 11, 1층",(사)한국청소년지원네트워크,02-322-8639,,181,https://mplib.mapo.go.kr/libsmall,37.5603131,126.9023161,2022-11-25,3130000,서울특별시 마포구
용강도도서관,서울특별시,마포구,작은도서관,일+공휴일,10:00,19:00,10:00,16:00,0:00,0:00,20,15720,17,0,5,14,"서울특별시 마포구 토정로31길 31, 2층",(사)기독교대한감리회사회복지재단,02-716-4785,,190,https://mplib.mapo.go.kr/libsmall,37.5423281,126.9428311,2022-11-25,3130000,서울특별시 마포구
초록숲도서관,서울특별시,마포구,작은도서관,일+공휴일,9:00,18:00,10:00,16:00,0:00,0:00,50,10639,10,0,5,14,"서울특별시 마포구 마포대로11길 44-81, B1층",(사)한국청소년지원네트워크,02-313-4785,,260,https://mplib.mapo.go.kr/libsmall,37.5521611,126.9512251,2022-11-25,3130000,서울특별시 마포구
해오름도서관,서울특별시,마포구,작은도서관,토+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,20,17575,2,0,5,14,"서울특별시 마포구 신촌로26길 10, 2층",(사)한국청소년지원네트워크,02-714-8080,,168,https://mplib.mapo.go.kr/libsmall,37.5558481,126.9423681,2022-11-25,3130000,서울특별시 마포구
자양3동새마을작은도서관,서울특별시,광진구,작은도서관,토+일+공휴일,9:00,17:00,0:00,0:00,0:00,0:00,20,9726,0,0,3,7,서울특별시 광진구 뚝섬로 568(자양동),,02-458-4525,,,,37.53383249,127.0729033,2022-07-05,3040000,서울특별시 광진구
중랑구립정보도서관,서울특별시,중랑구,공공도서관,둘째 주 월+넷째 주 월+법정공휴일(일요일 제외)+근로자의 날(5월 1일)+임시휴관일,7:00,23:00,7:00,22:00,0:00,0:00,555,164565,124,45581,7,14,서울특별시 중랑구 신내로15길 197 (묵동),중랑문화재단,02-490-9113,3307.7,5106,http://www.jungnanglib.seoul.kr/jnlib,37.6151557,127.0869051,2022-11-21,3060000,서울특별시 중랑구
중랑구립면목정보도서관,서울특별시,중랑구,공공도서관,첫째 주 월+셋째 주 월+법정공휴일(일요일 제외)+근로자의 날(5월 1일)+임시휴관일,8:00,23:00,8:00,22:00,0:00,0:00,180,117559,54,0,7,14,서울특별시 중랑구 면목로 397 (면목동),중랑문화재단,02-432-4120,1167,1234,http://www.jungnanglib.seoul.kr/mmlib,37.58735615,127.0875566,2022-11-21,3060000,서울특별시 중랑구
중랑숲어린이도서관,서울특별시,중랑구,공공도서관,월+법정공휴일(일요일 제외)+근로자의 날(5월 1일)+임시휴관일,9:00,18:00,9:00,17:00,0:00,0:00,303,52985,160,4335,7,14,서울특별시 중랑구 망우로73길 46-1 (망우동),중랑문화재단,02-6235-1150,1021.1,977.8,http://www.jungnanglib.seoul.kr/suplib,37.602634,127.103926,2022-11-21,3060000,서울특별시 중랑구
중곡3동새마을작은도서관,서울특별시,광진구,작은도서관,토+일+공휴일,9:30,17:30,0:00,0:00,0:00,0:00,40,3932,0,0,3,7,서울특별시 광진구 동일로76가길 28(중곡동),,02-462-4916,,,,37.56880816,127.0801365,2022-07-05,3040000,서울특별시 광진구
중곡4동새마을작은도서관,서울특별시,광진구,작은도서관,토+일+공휴일,9:00,17:00,0:00,0:00,0:00,0:00,25,5657,0,0,3,7,서울특별시 광진구 긴고랑로 131(중곡동),,02-450-1513,,,,37.55909955,127.0894339,2022-07-05,3040000,서울특별시 광진구
